GHS-NRO;CMD-COD;DCS-MCO;GHM-NRO;GHS-LIB;SEU-BAS;SEU-HAU;GHS-PRI;EXB-FORFAIT;EXB-JOURNALIER;EXH-PRI;DATE-EFFET
88;"05";"C";"05C21J";"Créations et réfections de fistules artérioveineuses pour affections de la CMD 05, en ambulatoire";0;0;1731,76;0;0;0;"01/03/2018"
89;"09";"C";"09C061";"Interventions sur le sein pour des affections non malignes autres que les actes de biopsie et d'excision locale, niveau 1";0;0;2440,05;0;0;0;"01/03/2018"
189;"01";"M";"01K021";"Autres embolisations intracrâniennes et médullaires, niveau 1";2;6;7057,07;0;2275,44;100,64;"01/03/2018"
190;"01";"M";"01K022";"Autres embolisations intracrâniennes et médullaires, niveau 2";0;11;8039,51;0;0;79,8;"01/03/2018"
191;"01";"M";"01K023";"Autres embolisations intracrâniennes et médullaires, niveau 3";0;34;9874,95;0;0;629,7;"01/03/2018"
192;"01";"M";"01K024";"Autres embolisations intracrâniennes et médullaires, niveau 4";0;0;15766,54;0;0;0;"01/03/2018"
193;"01";"M";"01K031";"Autres actes thérapeutiques par voie vasculaire du système nerveux, niveau 1";0;7;4129,06;0;0;183,46;"01/03/2018"
194;"01";"M";"01K032";"Autres actes thérapeutiques par voie vasculaire du système nerveux, niveau 2";0;18;7797,24;0;0;154;"01/03/2018"
195;"01";"M";"01K033";"Autres actes thérapeutiques par voie vasculaire du système nerveux, niveau 3";0;32;10322,31;0;0;145,21;"01/03/2018"
196;"01";"M";"01K034";"Autres actes thérapeutiques par voie vasculaire du système nerveux, niveau 4";12;74;16421,17;0;580,84;490,65;"01/03/2018"
197;"01";"M";"01K04J";"Injections de toxine botulique, en ambulatoire";0;0;366,18;0;0;0;"01/03/2018"
198;"01";"M";"01K05J";"Séjours pour douleurs chroniques rebelles comprenant un bloc ou une infiltration, en ambulatoire";0;0;256,79;0;0;0;"01/03/2018"
199;"01";"M";"01K06J";"Affections du système nerveux sans acte opératoire avec anesthésie, en ambulatoire";0;0;891,65;0;0;0;"01/03/2018"
200;"01";"M";"01K071";"Embolisations intracrâniennes et médullaires pour hémorragie, niveau 1";5;37;9048,85;0;1389,91;133,77;"01/03/2018"
201;"01";"M";"01K072";"Embolisations intracrâniennes et médullaires pour hémorragie, niveau 2";7;40;9450,18;0;66,89;255,78;"01/03/2018"
202;"01";"M";"01K073";"Embolisations intracrâniennes et médullaires pour hémorragie, niveau 3";9;53;14635,51;0;691,38;209,27;"01/03/2018"
203;"01";"M";"01K074";"Embolisations intracrâniennes et médullaires pour hémorragie, niveau 4";9;93;23006,48;0;1395,16;618,22;"01/03/2018"
204;"01";"M";"01M041";"Méningites virales, niveau 1";0;7;1667,78;0;0;146,07;"01/03/2018"
205;"01";"M";"01M042";"Méningites virales, niveau 2";0;13;3744,17;0;0;105,41;"01/03/2018"
206;"01";"M";"01M043";"Méningites virales, niveau 3";6;36;6168,7;0;808,18;136,6;"01/03/2018"
207;"01";"M";"01M044";"Méningites virales, niveau 4";7;64;9993,49;0;1274,93;355,86;"01/03/2018"
208;"01";"M";"01M051";"Infections du système nerveux à l'exception des méningites virales, niveau 1";0;11;2554,03;0;0;122,75;"01/03/2018"
209;"01";"M";"01M052";"Infections du système nerveux à l'exception des méningites virales, niveau 2";4;34;5377,21;0;1882,12;133,94;"01/03/2018"
210;"01";"M";"01M053";"Infections du système nerveux à l'exception des méningites virales, niveau 3";0;35;7714,49;0;0;93,88;"01/03/2018"
211;"01";"M";"01M054";"Infections du système nerveux à l'exception des méningites virales, niveau 4";15;90;12878,12;0;344,24;309,72;"01/03/2018"
212;"01";"M";"01M05T";"Infections du système nerveux à l'exception des méningites virales, très courte durée";0;0;616,65;0;0;0;"01/03/2018"
213;"01";"M";"01M071";"Maladies dégénératives du système nerveux, âge supérieur à 79 ans, niveau 1";0;8;1857,96;0;0;101,23;"01/03/2018"
214;"01";"M";"01M072";"Maladies dégénératives du système nerveux, âge supérieur à 79 ans, niveau 2";5;29;3983,83;0;708,62;112,39;"01/03/2018"
215;"01";"M";"01M073";"Maladies dégénératives du système nerveux, âge supérieur à 79 ans, niveau 3";5;30;4932,58;0;632,5;74,38;"01/03/2018"
216;"01";"M";"01M074";"Maladies dégénératives du système nerveux, âge supérieur à 79 ans, niveau 4";9;52;6568,88;0;272,72;246,73;"01/03/2018"
217;"01";"M";"01M07T";"Maladies dégénératives du système nerveux, âge supérieur à 79 ans, très courte durée";0;0;511,38;0;0;0;"01/03/2018"
218;"01";"M";"01M081";"Maladies dégénératives du système nerveux, âge inférieur à 80 ans, niveau 1";0;7;1417,43;0;0;124,05;"01/03/2018"
219;"01";"M";"01M082";"Maladies dégénératives du système nerveux, âge inférieur à 80 ans, niveau 2";0;19;3962,92;0;0;102,91;"01/03/2018"
220;"01";"M";"01M083";"Maladies dégénératives du système nerveux, âge inférieur à 80 ans, niveau 3";0;33;5705,85;0;0;94,52;"01/03/2018"
221;"01";"M";"01M084";"Maladies dégénératives du système nerveux, âge inférieur à 80 ans, niveau 4";7;69;9108,5;0;1134,22;276,81;"01/03/2018"
222;"01";"M";"01M08T";"Maladies dégénératives du système nerveux, âge inférieur à 80 ans, très courte durée";0;0;493,78;0;0;0;"01/03/2018"
223;"01";"M";"01M091";"Affections et lésions du rachis et de la moelle, niveau 1";0;7;1536,05;0;0;124,01;"01/03/2018"
224;"01";"M";"01M092";"Affections et lésions du rachis et de la moelle, niveau 2";0;19;4789,29;0;0;82,75;"01/03/2018"
225;"01";"M";"01M093";"Affections et lésions du rachis et de la moelle, niveau 3";5;49;7271,89;0;1655,07;110,5;"01/03/2018"
226;"01";"M";"01M094";"Affections et lésions du rachis et de la moelle, niveau 4";15;88;11581,22;0;287,29;284,26;"01/03/2018"
227;"01";"M";"01M09T";"Affections et lésions du rachis et de la moelle, très courte durée";0;0;545,25;0;0;0;"01/03/2018"
228;"01";"M";"01M101";"Autres affections cérébrovasculaires, niveau 1";0;8;1918,55;0;0;147,25;"01/03/2018"
229;"01";"M";"01M102";"Autres affections cérébrovasculaires, niveau 2";0;19;4556,04;0;0;108,71;"01/03/2018"
230;"01";"M";"01M103";"Autres affections cérébrovasculaires, niveau 3";6;36;6404,02;0;615,99;137,19;"01/03/2018"
231;"01";"M";"01M104";"Autres affections cérébrovasculaires, niveau 4";12;72;11342,86;0;470,37;303,44;"01/03/2018"
232;"01";"M";"01M10T";"Autres affections cérébrovasculaires, très courte durée";0;0;824,18;0;0;0;"01/03/2018"
233;"01";"M";"01M111";"Affections des nerfs crâniens et rachidiens, niveau 1";0;8;1992,49;0;0;116,63;"01/03/2018"
234;"01";"M";"01M112";"Affections des nerfs crâniens et rachidiens, niveau 2";0;15;3364,84;0;0;90,16;"01/03/2018"
235;"01";"M";"01M113";"Affections des nerfs crâniens et rachidiens, niveau 3";0;36;5258,12;0;0;162,03;"01/03/2018"
236;"01";"M";"01M114";"Affections des nerfs crâniens et rachidiens, niveau 4";6;58;8822,87;0;2376,5;319,29;"01/03/2018"
237;"01";"M";"01M11T";"Affections des nerfs crâniens et rachidiens, très courte durée";0;0;541,14;0;0;0;"01/03/2018"
238;"01";"M";"01M121";"Autres affections du système nerveux, niveau 1";0;7;1769,29;0;0;109,11;"01/03/2018"
239;"01";"M";"01M122";"Autres affections du système nerveux, niveau 2";0;16;3669,87;0;0;90,36;"01/03/2018"
240;"01";"M";"01M123";"Autres affections du système nerveux, niveau 3";0;31;5746,27;0;0;69,15;"01/03/2018"
241;"01";"M";"01M124";"Autres affections du système nerveux, niveau 4";7;65;8097,4;0;783,71;288,54;"01/03/2018"
242;"01";"M";"01M12T";"Autres affections du système nerveux, très courte durée";0;0;616,63;0;0;0;"01/03/2018"
243;"01";"M";"01M131";"Troubles de la conscience et comas d'origine non traumatique, niveau 1";0;3;889,69;0;0;137,78;"01/03/2018"
244;"01";"M";"01M132";"Troubles de la conscience et comas d'origine non traumatique, niveau 2";0;14;2912,12;0;0;127,43;"01/03/2018"
245;"01";"M";"01M133";"Troubles de la conscience et comas d'origine non traumatique, niveau 3";0;26;4832,96;0;0;116,85;"01/03/2018"
246;"01";"M";"01M134";"Troubles de la conscience et comas d'origine non traumatique, niveau 4";0;63;9156,36;0;0;353,1;"01/03/2018"
247;"01";"M";"01M151";"Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, niveau 1";0;10;2283,01;0;0;148,19;"01/03/2018"
248;"01";"M";"01M152";"Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, niveau 2";0;14;3006,59;0;0;143,52;"01/03/2018"
249;"01";"M";"01M153";"Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, niveau 3";0;21;4168,59;0;0;136,03;"01/03/2018"
250;"01";"M";"01M154";"Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, niveau 4";0;42;7025,18;0;0;319,41;"01/03/2018"
251;"01";"M";"01M161";"Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, niveau 1";0;8;2150,48;0;0;165,87;"01/03/2018"
252;"01";"M";"01M162";"Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, niveau 2";0;12;2864,87;0;0;164,37;"01/03/2018"
253;"01";"M";"01M163";"Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, niveau 3";0;22;4555,74;0;0;162,41;"01/03/2018"
254;"01";"M";"01M164";"Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, niveau 4";0;46;8453,49;0;0;357,73;"01/03/2018"
255;"01";"M";"01M171";"Sclérose en plaques et ataxie cérébelleuse, niveau 1";0;6;1199;0;0;130,74;"01/03/2018"
256;"01";"M";"01M172";"Sclérose en plaques et ataxie cérébelleuse, niveau 2";0;13;3126,62;0;0;112,97;"01/03/2018"
257;"01";"M";"01M173";"Sclérose en plaques et ataxie cérébelleuse, niveau 3";0;30;5619,45;0;0;98,67;"01/03/2018"
258;"01";"M";"01M174";"Sclérose en plaques et ataxie cérébelleuse, niveau 4";7;70;9566,09;0;1315,55;289,9;"01/03/2018"
259;"01";"M";"01M17T";"Sclérose en plaques et ataxie cérébelleuse, très courte durée";0;0;443,59;0;0;0;"01/03/2018"
260;"01";"C";"01M181";"Lésions traumatiques intracrâniennes sévères, niveau 1";0;10;1987,01;0;0;119,06;"01/03/2018"
261;"01";"C";"01M182";"Lésions traumatiques intracrâniennes sévères, niveau 2";0;20;4433,69;0;0;100,86;"01/03/2018"
262;"01";"C";"01M183";"Lésions traumatiques intracrâniennes sévères, niveau 3";0;34;6615,45;0;0;86,86;"01/03/2018"
263;"01";"C";"01M184";"Lésions traumatiques intracrâniennes sévères, niveau 4";8;89;11392,86;0;1061,65;313,02;"01/03/2018"
264;"01";"C";"01M191";"Autres lésions traumatiques intracrâniennes, sauf commotions, niveau 1";0;5;1162,53;0;0;130,55;"01/03/2018"
265;"01";"C";"01M192";"Autres lésions traumatiques intracrâniennes, sauf commotions, niveau 2";0;18;3362,09;0;0;118,58;"01/03/2018"
266;"01";"C";"01M193";"Autres lésions traumatiques intracrâniennes, sauf commotions, niveau 3";0;29;5007,46;0;0;107,58;"01/03/2018"
267;"01";"C";"01M194";"Autres lésions traumatiques intracrâniennes, sauf commotions, niveau 4";8;60;8342,53;0;741,13;286,67;"01/03/2018"
268;"01";"C";"01M201";"Commotions cérébrales, niveau 1";0;3;665,61;0;0;102;"01/03/2018"
269;"01";"C";"01M202";"Commotions cérébrales, niveau 2";0;13;2371,52;0;0;83,46;"01/03/2018"
270;"01";"C";"01M203";"Commotions cérébrales, niveau 3";0;22;3531,5;0;0;68,85;"01/03/2018"
271;"01";"C";"01M204";"Commotions cérébrales, niveau 4";0;50;5459,42;0;0;250,04;"01/03/2018"
272;"01";"M";"01M211";"Douleurs chroniques rebelles, niveau 1";0;7;1513,2;0;0;173,85;"01/03/2018"
273;"01";"M";"01M212";"Douleurs chroniques rebelles, niveau 2";0;13;2869,77;0;0;164,63;"01/03/2018"
274;"01";"M";"01M213";"Douleurs chroniques rebelles, niveau 3";0;23;5222,91;0;0;135,17;"01/03/2018"
275;"01";"M";"01M214";"Douleurs chroniques rebelles, niveau 4";0;47;8467,04;0;0;356,53;"01/03/2018"
276;"01";"M";"01M221";"Migraines et céphalées, niveau 1";0;3;941,69;0;0;149,6;"01/03/2018"
277;"01";"M";"01M222";"Migraines et céphalées, niveau 2";0;10;2185,79;0;0;121,48;"01/03/2018"
278;"01";"M";"01M223";"Migraines et céphalées, niveau 3";0;17;3036,08;0;0;255,31;"01/03/2018"
279;"01";"M";"01M224";"Migraines et céphalées, niveau 4";0;0;5205,43;0;0;0;"01/03/2018"
280;"01";"M";"01M22T";"Migraines et céphalées, très courte durée";0;0;558,51;0;0;0;"01/03/2018"
281;"01";"M";"01M231";"Convulsions hyperthermiques, niveau 1";0;3;897,95;0;0;378,16;"01/03/2018"
282;"01";"M";"01M232";"Convulsions hyperthermiques, niveau 2";0;7;2410,59;0;0;417,29;"01/03/2018"
283;"01";"M";"01M233";"Convulsions hyperthermiques, niveau 3";0;0;3688,08;0;0;0;"01/03/2018"
284;"01";"M";"01M234";"Convulsions hyperthermiques, niveau 4";0;0;6106,22;0;0;0;"01/03/2018"
285;"01";"M";"01M241";"Epilepsie, âge inférieur à 18 ans, niveau 1";0;5;1633,88;0;0;157,76;"01/03/2018"
286;"01";"M";"01M242";"Epilepsie, âge inférieur à 18 ans, niveau 2";0;12;3573,23;0;0;140,72;"01/03/2018"
287;"01";"M";"01M243";"Epilepsie, âge inférieur à 18 ans, niveau 3";0;26;6655,96;0;0;108,93;"01/03/2018"
288;"01";"M";"01M244";"Epilepsie, âge inférieur à 18 ans, niveau 4";0;61;10468,34;0;0;365,29;"01/03/2018"
289;"01";"M";"01M24T";"Epilepsie, âge inférieur à 18 ans, très courte durée";0;0;711,42;0;0;0;"01/03/2018"
290;"01";"M";"01M251";"Epilepsie, âge supérieur à 17 ans, niveau 1";0;6;1447,23;0;0;126,43;"01/03/2018"
291;"01";"M";"01M252";"Epilepsie, âge supérieur à 17 ans, niveau 2";0;14;2577,89;0;0;122,45;"01/03/2018"
292;"01";"M";"01M253";"Epilepsie, âge supérieur à 17 ans, niveau 3";0;25;4062,98;0;0;115,18;"01/03/2018"
293;"01";"M";"01M254";"Epilepsie, âge supérieur à 17 ans, niveau 4";0;44;6251,42;0;0;249,22;"01/03/2018"
294;"01";"M";"01M25T";"Epilepsie, âge supérieur à 17 ans, très courte durée";0;0;605,6;0;0;0;"01/03/2018"
295;"01";"M";"01M261";"Tumeurs malignes du système nerveux, niveau 1";0;10;2566,01;0;0;136,41;"01/03/2018"
296;"01";"M";"01M262";"Tumeurs malignes du système nerveux, niveau 2";0;19;4696,92;0;0;115,41;"01/03/2018"
297;"01";"M";"01M263";"Tumeurs malignes du système nerveux, niveau 3";0;33;6850,55;0;0;96,86;"01/03/2018"
298;"01";"M";"01M264";"Tumeurs malignes du système nerveux, niveau 4";10;62;9659,41;0;374,51;322,93;"01/03/2018"
299;"01";"M";"01M26T";"Tumeurs malignes du système nerveux, très courte durée";0;0;596,38;0;0;0;"01/03/2018"
300;"01";"M";"01M271";"Autres tumeurs du système nerveux, niveau 1";0;7;1854,37;0;0;149,82;"01/03/2018"
301;"01";"M";"01M272";"Autres tumeurs du système nerveux, niveau 2";0;15;3364,25;0;0;125,87;"01/03/2018"
302;"01";"M";"01M273";"Autres tumeurs du système nerveux, niveau 3";0;28;5000,56;0;0;191,12;"01/03/2018"
303;"01";"M";"01M274";"Autres tumeurs du système nerveux, niveau 4";6;48;8822,93;0;2548,25;369,4;"01/03/2018"
304;"01";"M";"01M27T";"Autres tumeurs du système nerveux, très courte durée";0;0;782,93;0;0;0;"01/03/2018"
305;"01";"M";"01M281";"Hydrocéphalies, niveau 1";0;5;1259,99;0;0;120,84;"01/03/2018"
306;"01";"M";"01M282";"Hydrocéphalies, niveau 2";0;17;3486,5;0;0;77,7;"01/03/2018"
307;"01";"M";"01M283";"Hydrocéphalies, niveau 3";0;35;4885,16;0;0;189,92;"01/03/2018"
308;"01";"M";"01M284";"Hydrocéphalies, niveau 4";9;52;8113,83;0;538,11;265,73;"01/03/2018"
309;"01";"M";"01M28T";"Hydrocéphalies, très courte durée";0;0;504,35;0;0;0;"01/03/2018"
310;"01";"M";"01M291";"Anévrysmes cérébraux, niveau 1";0;3;2038,57;0;0;304,47;"01/03/2018"
311;"01";"M";"01M292";"Anévrysmes cérébraux, niveau 2";0;15;5692,22;0;0;631,28;"01/03/2018"
312;"01";"M";"01M293";"Anévrysmes cérébraux, niveau 3";0;0;8535,02;0;0;0;"01/03/2018"
313;"01";"M";"01M294";"Anévrysmes cérébraux, niveau 4";0;0;14131,09;0;0;0;"01/03/2018"
314;"01";"M";"01M301";"Accidents vasculaires intracérébraux non transitoires, niveau 1";0;13;2882,99;0;0;139,1;"01/03/2018"
315;"01";"M";"01M302";"Accidents vasculaires intracérébraux non transitoires, niveau 2";0;20;4481,83;0;0;122,2;"01/03/2018"
316;"01";"M";"01M303";"Accidents vasculaires intracérébraux non transitoires, niveau 3";0;31;6335,54;0;0;102,6;"01/03/2018"
317;"01";"M";"01M304";"Accidents vasculaires intracérébraux non transitoires, niveau 4";0;57;9003,19;0;0;279,93;"01/03/2018"
318;"01";"M";"01M30T";"Transferts et autres séjours courts pour accidents vasculaires intracérébraux non transitoires";0;0;689,65;0;0;0;"01/03/2018"
319;"01";"M";"01M311";"Autres accidents vasculaires cérébraux non transitoires, niveau 1";0;12;2884,41;0;0;116,95;"01/03/2018"
320;"01";"M";"01M312";"Autres accidents vasculaires cérébraux non transitoires, niveau 2";0;21;4399,51;0;0;105,93;"01/03/2018"
321;"01";"M";"01M313";"Autres accidents vasculaires cérébraux non transitoires, niveau 3";7;39;6755,43;0;523,54;87,22;"01/03/2018"
322;"01";"M";"01M314";"Autres accidents vasculaires cérébraux non transitoires, niveau 4";6;63;8848,72;0;1395,53;298,35;"01/03/2018"
323;"01";"M";"01M31T";"Transferts et autres séjours courts pour autres accidents vasculaires cérébraux non transitoires";0;0;737,32;0;0;0;"01/03/2018"
324;"01";"M";"01M32Z";"Explorations et surveillance pour affections du système nerveux";0;0;747,55;0;0;0;"01/03/2018"
325;"01";"M";"01M331";"Troubles du sommeil, niveau 1";0;3;697,07;0;0;134,02;"01/03/2018"
326;"01";"M";"01M332";"Troubles du sommeil, niveau 2";0;12;1903,2;0;0;190,68;"01/03/2018"
327;"01";"M";"01M333";"Troubles du sommeil, niveau 3";0;16;2665,94;0;0;226,36;"01/03/2018"
328;"01";"M";"01M334";"Troubles du sommeil, niveau 4";0;0;4735,7;0;0;0;"01/03/2018"
329;"01";"M";"01M34Z";"Anomalies de la démarche d'origine neurologique";0;20;3313,58;0;0;235,63;"01/03/2018"
330;"01";"M";"01M35Z";"Symptômes et autres recours aux soins de la CMD 01";0;10;2137,21;0;0;286,33;"01/03/2018"
